FIRST_NAME,LAST_NAME,PLAYER_NAME,HEIGHT,WEIGHT,POSITION,AGE,TEAM,GP,GS,NOTE_2019,NOTE_2020,2020,2021,2022,2023
Steven,Adams,Steven Adams,211,120,C,26,OKC,58,58,5.56,6.18,25842697,27528088,0,0
Bam,Adebayo,Bam Adebayo,206,116,C,22,MIA,65,65,4.28,7.92,3454080,5115492,7115650,0
LaMarcus,Aldridge,LaMarcus Aldridge,211,113,C,34,SAS,53,53,8.52,9.59,26000000,24000000,0,0
Nickeil,Alexander-Walker,Nickeil Alexander-Walker,196,93,SG,21,NOP,41,0,,1.16,2964840,3113160,3261480,5009633
Grayson,Allen,Grayson Allen,193,90,SG,24,MEM,30,0,0.77,2.07,2429400,2545320,4054695,5842815
Jarrett,Allen,Jarrett Allen,211,110,C,22,BKN,64,58,4.66,4.50,2376840,3909902,5661538,0
Kadeem,Allen,Kadeem Allen,185,91,PG,27,NYK,10,0,3.08,1.34,79568,0,0,0
Al-Farouq,Aminu,Al-Farouq Aminu,203,100,PF,29,ORL,18,2,5.11,2.41,9258000,9720900,10183800,0
Justin,Anderson,Justin Anderson,198,104,SF,26,BKN,3,0,1.23,0.16,91557,0,0,0
Kyle,Anderson,Kyle Anderson,206,104,SF,26,MEM,59,20,5.50,3.04,9073050,9505100,9937150,0
Ryan,Anderson,Ryan Anderson,206,108,PF,32,HOU,2,0,0.95,0.39,5714583,5214583,5214583,0
Giannis,Antetokounmpo,Giannis Antetokounmpo,211,110,PF,25,MIL,57,57,7.99,7.02,25842697,27528088,0,0
Kostas,Antetokounmpo,Kostas Antetokounmpo,208,91,PF,22,LAL,3,0,0.15,0.0,79568,0,0,0
Thanasis,Antetokounmpo,Thanasis Antetokounmpo,198,99,SF,27,MIL,18,2,,0.27,1445697,1701593,0,0
Carmelo,Anthony,Carmelo Anthony,203,108,SF,36,POR,50,50,4.42,6.75,2159029,0,0,0
OG,Anunoby,OG Anunoby,201,105,SF,22,TOR,63,62,2.37,6.68,2281800,3872215,5634072,0
Ryan,Arcidiacono,Ryan Arcidiacono,191,88,PG,26,CHI,58,4,4.27,1.93,3000000,3000000,3000000,0
Trevor,Ariza,Trevor Ariza,203,98,SF,34,SAC,53,21,6.85,5.80,12200000,12800000,0,0
D.J.,Augustin,D.J. Augustin,180,83,PG,32,ORL,49,6,5.81,4.18,7250000,0,0,0
Deandre,Ayton,Deandre Ayton,211,113,C,21,PHX,30,25,5.69,6.72,9562920,10018200,12632950,16422835
Dwayne,Bacon,Dwayne Bacon,198,100,SG,24,CHA,39,11,1.96,1.71,1618520,2023150,0,0
Marvin,Bagley III,Marvin Bagley III,211,107,PF,21,SAC,13,6,4.03,3.25,8556120,8963640,11312114,14762308
Lonzo,Ball,Lonzo Ball,198,86,PG,22,NOP,56,47,5.37,6.77,8719320,11003782,14359935,0
Mo,Bamba,Mo Bamba,213,105,C,22,ORL,60,0,2.32,2.33,5697600,5969040,7568743,10096703
J.J.,Barea,J.J. Barea,178,82,PG,35,DAL,26,4,2.82,2.32,2564753,0,0,0
Harrison,Barnes,Harrison Barnes,203,102,SF,28,SAC,64,64,6.21,7.38,24147727,22215909,20284091,18352273
RJ,Barrett,RJ Barrett,198,97,SG,19,NYK,56,55,,4.33,7839960,8231760,8623920,10900634
Will,Barton,Will Barton,196,82,SG,29,DEN,58,58,4.43,7.22,12776786,13723214,14669642,0
Keita,Bates-Diop,Keita Bates-Diop,203,104,SF,24,MIN,39,0,2.27,2.70,1416852,1663861,0,0
Nicolas,Batum,Nicolas Batum,206,104,SF,31,CHA,22,3,6.71,3.91,25565217,27130434,0,0
Aron,Baynes,Aron Baynes,208,118,C,33,PHX,42,28,2.85,3.20,5453280,0,0,0
Kent,Bazemore,Kent Bazemore,193,88,SF,30,POR,64,21,4.06,4.35,19269663,0,0,0
Darius,Bazley,Darius Bazley,203,94,PF,19,OKC,53,8,,2.02,2284800,2399160,2513040,4264628
Bradley,Beal,Bradley Beal,191,94,SG,27,WAS,57,57,8.74,8.03,27093018,28751774,34502129,37262299
Malik,Beasley,Malik Beasley,193,85,SG,23,DEN,55,14,3.34,3.31,2731713,3895423,0,0
Marco,Belinelli,Marco Belinelli,196,100,SG,34,SAS,52,0,3.04,1.77,5846154,0,0,0
Jordan,Bell,Jordan Bell,203,97,PF,25,MIN,29,0,0.88,0.81,1620564,0,0,0
DeAndre',Bembry,DeAndre' Bembry,196,95,SG,25,ATL,43,4,3.40,2.51,2603981,3752337,0,0
Dragan,Bender,Dragan Bender,213,113,PF,22,MIL,16,3,1.59,2.11,1868554,0,0,0
Davis,Bertans,Davis Bertans,208,102,PF,27,WAS,54,4,3.58,5.58,7000000,0,0,0
