LAST_NAME,PLAYER_NAME,POSITION,GEN_POST,MPG,PPG,FG_PCT,FG3_PCT,FT_PCT,RPG,APG,SPG,BPG,TPG,FPG
Green,A.C. Green,SF,Wing,17.2,4.5,0.444,0.0,0.712,3.8,0.5,0.4,0.1,0.5,1.5
Guyton,A.J. Guyton,PG,Guard,12.3,3.8,0.255,0.255,0.549,0.7,1.5,0.3,0.1,0.6,0.5
Hammons,AJ Hammons,C,Front,7.4,2.2,0.405,0.5,0.45,1.6,0.2,0.0,0.6,0.5,1.0
Price,AJ Price,PG,Guard,13.7,5.3,0.380,0.300,0.620,1.3,2.0,0.4,0.0,0.7,0.8
Brooks,Aaron Brooks,PG,Guard,19.3,8.8,0.410,0.362,0.82,1.5,2.7,0.5,0.1,1.4,1.7
Gordon,Aaron Gordon,PF,Front,28.2,12.5,0.448,0.306,0.702,6.3,2.3,0.7,0.6,1.3,2.0
Gray,Aaron Gray,C,Front,11.9,3.2,0.508,0.0,0.565,3.7,0.6,0.3,0.2,0.8,2.0
Harrison,Aaron Harrison,SG,Guard,11.2,2.6,0.179,0.169,0.560,1.3,0.6,0.4,0.0,0.1,1.3
Holiday,Aaron Holiday,PG,Guard,18.2,7.6,0.404,0.366,0.840,1.7,2.5,0.6,0.2,1.0,1.6
Jackson,Aaron Jackson,PG,Guard,35.0,8.0,0.333,0.25,0.5,3.0,1.0,0.0,0.0,1.0,4.0
McKie,Aaron McKie,SG,Guard,22.5,6.7,0.448,0.257,0.610,3.0,2.6,0.9,0.1,1.2,1.6
Miles,Aaron Miles,PG,Guard,6.2,0.8,0.333,0.0,1.0,0.7,1.3,0.2,0.1,0.6,0.7
Williams,Aaron Williams,PF,Front,16.1,5.0,0.494,0.041,0.764,3.6,0.6,0.3,0.6,0.8,2.4
Nader,Abdel Nader,SF,Wing,12.7,4.3,0.404,0.348,0.704,1.7,0.5,0.3,0.2,0.6,1.1
Law,Acie Law,PG,Guard,12.2,3.8,0.419,0.249,0.779,1.0,1.5,0.4,0.0,0.7,0.9
Harrington,Adam Harrington,SG,Guard,5.8,1.6,0.297,0.357,0.75,0.4,0.6,0.1,0.1,0.1,0.4
Keefe,Adam Keefe,PF,Front,12.5,2.5,0.403,0.333,0.619,3.1,0.5,0.4,0.3,0.6,1.5
Mokoka,Adam Mokoka,SG,Guard,10.2,2.9,0.429,0.4,0.5,0.9,0.4,0.4,0.0,0.2,1.5
Morrison,Adam Morrison,SF,Wing,17.0,6.0,0.370,0.302,0.691,1.8,1.1,0.2,0.1,0.8,1.4
Schofield,Admiral Schofield,SF,Wing,10.9,3.1,0.4,0.298,0.692,1.3,0.5,0.3,0.1,0.3,1.5
Foyle,Adonal Foyle,C,Front,16.6,3.7,0.502,0.0,0.514,4.4,0.4,0.3,1.5,0.7,1.8
Thomas,Adonis Thomas,SF,Wing,6.3,2.3,0.429,0.2,1.0,0.5,0.5,0.0,0.0,0.2,1.0
Payne,Adreian Payne,PF,Front,12.1,4.2,0.476,0.314,0.719,2.7,0.4,0.4,0.2,0.7,1.8
Griffin,Adrian Griffin,SG,Guard,13.8,3.1,0.407,0.201,0.662,2.5,1.0,0.7,0.1,0.5,1.4
Harrington,Al Harrington,PF,Front,28.0,13.3,0.435,0.314,0.733,5.5,1.6,0.8,0.2,1.8,3.0
Horford,Al Horford,C,Front,32.5,14.0,0.521,0.345,0.755,8.1,3.2,0.8,1.2,1.5,2.2
Jefferson,Al Jefferson,C,Front,27.8,15.2,0.501,0.069,0.713,8.1,1.4,0.6,1.1,1.2,2.5
Thornton,Al Thornton,SF,Wing,27.9,11.9,0.455,0.273,0.749,4.1,1.2,0.6,0.5,1.4,2.6
Aminu,Al-Farouq Aminu,PF,Front,24.8,7.3,0.409,0.300,0.734,5.9,1.2,0.9,0.5,1.1,1.8
Anderson,Alan Anderson,SG,Guard,19.0,6.8,0.401,0.339,0.802,2.0,1.1,0.4,0.0,0.8,1.7
Henderson,Alan Henderson,PF,Front,15.3,4.8,0.511,0.142,0.627,3.9,0.3,0.3,0.3,0.7,1.5
Williams,Alan Williams,PF,Front,10.2,4.4,0.484,0.0,0.608,4.5,0.8,0.5,0.3,0.7,1.8
Tucker,Alando Tucker,SG,Guard,7.8,3.9,0.41,0.247,0.794,1.0,0.2,0.0,0.0,0.2,0.4
Burks,Alec Burks,SG,Guard,22.4,10.4,0.415,0.357,0.790,3.2,1.8,0.6,0.1,1.2,1.7
Peters,Alec Peters,PF,Front,11.3,4.1,0.378,0.31,0.8,1.9,0.6,0.1,0.1,0.2,0.7
Radojevic,Aleksandar Radojevic,C,Front,10.7,1.6,0.316,0.0,0.7,2.3,0.5,0.0,0.2,1.3,2.7
Smailagic,Alen Smailagic,PF,Front,9.9,4.2,0.5,0.231,0.842,1.9,0.9,0.2,0.3,0.8,1.0
Abrines,Alex Abrines,SG,Guard,16.5,5.3,0.381,0.361,0.889,1.4,0.5,0.5,0.1,0.4,1.7
Acker,Alex Acker,SG,Guard,7.5,2.3,0.322,0.275,0.25,1.0,0.6,0.2,0.1,0.5,0.6
Caruso,Alex Caruso,PG,Guard,18.0,6.0,0.433,0.379,0.753,2.1,2.3,0.8,0.3,1.2,1.7
Garcia,Alex Garcia,SG,Guard,12.4,3.5,0.244,0.139,0.625,0.9,1.1,0.7,0.0,0.7,0.9
Kirk,Alex Kirk,C,Front,2.8,0.8,0.25,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.2
Len,Alex Len,C,Front,18.9,7.6,0.495,0.238,0.680,6.0,0.8,0.3,0.9,1.1,2.5
Poythress,Alex Poythress,PF,Front,14.9,5.5,0.459,0.357,0.473,3.0,0.5,0.2,0.2,0.3,1.7
Scales,Alex Scales,SG,Guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stepheson,Alex Stepheson,PF,Front,9.0,2.8,0.333,0.0,0.333,3.5,0.3,0.1,0.6,0.0,1.5
Johnson,Alexander Johnson,PF,Front,12.8,4.3,0.512,0.0,0.673,2.6,0.3,0.3,0.4,0.9,2.0
Shved,Alexey Shved,SG,Guard,17.5,7.6,0.363,0.309,0.761,2.0,2.4,0.6,0.2,1.2,1.0
Ajinca,Alexis Ajinca,C,Front,11.6,4.5,0.482,0.050,0.664,3.2,0.3,0.3,0.5,0.7,1.9
McKinnie,Alfonzo McKinnie,SF,Wing,10.8,3.6,0.482,0.301,0.646,2.2,0.3,0.3,0.1,0.4,1.4
Johnson,Alize Johnson,SF,Wing,4.4,1.1,0.358,0.25,0.583,1.4,0.1,0.0,0.1,0.1,0.5
Houston,Allan Houston,SG,Guard,34.9,18.4,0.436,0.397,0.889,2.6,2.3,0.6,0.0,1.9,2.2
Ray,Allan Ray,SG,Guard,15.1,6.2,0.386,0.414,0.764,1.5,0.9,0.4,0.1,0.9,1.8
Crabbe,Allen Crabbe,SG,Guard,21.1,7.7,0.404,0.382,0.787,2.4,1.0,0.5,0.2,0.6,1.8
Iverson,Allen Iverson,SG,Guard,40.7,26.4,0.423,0.310,0.797,3.5,6.1,2.0,0.1,3.5,1.7
Trier,Allonzo Trier,PG,Guard,17.4,8.7,0.464,0.376,0.796,2.1,1.5,0.2,0.2,1.3,1.5
Gee,Alonzo Gee,SG,Guard,19.1,6.0,0.421,0.341,0.702,2.9,0.9,0.7,0.2,0.9,1.7
