SEASON,TEAM,PPG,FG_PCT,FG3_PCT,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,FPG,WIN_PCT
2001,ATL,90.9,0.431,0.356,0.758,12.5,30.3,42.9,19.0,7.7,4.7,15.7,22.7,30.5
2001,BKN,92.0,0.424,0.333,0.759,11.0,28.5,39.5,19.5,7.9,4.9,13.8,24.1,31.7
2001,BOS,94.6,0.427,0.362,0.740,10.9,28.8,39.8,20.8,9.3,4.0,15.0,23.8,43.9
2001,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,CHI,87.5,0.424,0.346,0.738,11.2,27.5,38.8,22.0,8.2,4.6,14.5,23.1,18.3
2001,CLE,92.2,0.442,0.333,0.765,12.3,29.7,42.1,20.8,7.8,5.3,15.8,23.2,36.6
2001,DAL,100.,0.459,0.380,0.794,10.1,31.3,41.4,21.2,7.5,6,13.3,23.2,64.6
2001,DEN,96.5,0.433,0.354,0.737,12.7,31.5,44.2,24.0,6.7,6.5,13.3,22.1,48.8
2001,DET,95.5,0.424,0.349,0.721,13.5,32.0,45.5,19.8,7.4,5.4,15.4,23.8,39
2001,GSW,92.4,0.409,0.292,0.705,16.4,29.0,45.4,21.8,9.0,5,15.2,21.0,20.7
2001,HOU,97.2,0.453,0.356,0.758,11.2,30.7,41.9,19.6,7.1,4.3,13.8,20.2,54.9
2001,IND,92.5,0.439,0.341,0.766,11.2,31.6,42.8,21.5,6.8,5.9,14.3,23.4,50
2001,LAC,92.4,0.447,0.338,0.693,11.7,31.2,42.9,19.3,5.9,6.2,14.7,21.6,37.8
2001,LAL,100.,0.465,0.344,0.683,13.2,31.5,44.7,23.0,6.8,5.9,13.8,22.8,68.3
2001,MEM,91.7,0.438,0.343,0.770,10.9,29.6,40.5,23.1,7.1,4.3,15.0,21.1,28
2001,MIA,88.8,0.430,0.345,0.759,9.91,29.6,39.6,19.8,7.7,3.7,13.1,21.0,61
2001,MIL,100.,0.457,0.379,0.786,11.8,30.4,42.3,22.4,8.1,4.7,13.1,23.5,63.4
2001,MIN,97.3,0.458,0.357,0.785,12.2,30.1,42.3,25.4,8.3,5.5,13.4,23.1,57.3
2001,NOP,91.9,0.430,0.345,0.745,12.5,31.8,44.4,23.1,8.1,5.5,13.7,21.3,56.1
2001,NYK,88.7,0.444,0.350,0.795,9.42,30.7,40.2,18.5,6.6,4.2,13.8,22.7,58.5
2001,OKC,97.2,0.455,0.398,0.732,12.1,29.5,41.7,21.8,8.0,4.9,14.6,21.1,53.7
2001,ORL,97.4,0.438,0.364,0.713,13.0,29.8,42.9,21.9,8.2,5.8,14.8,25.2,52.4
2001,PHI,94.6,0.447,0.326,0.745,13.1,31.7,44.8,20.6,8.4,4.9,15.0,20.4,68.3
2001,PHX,94.0,0.435,0.314,0.755,11.8,30.8,42.6,23.2,9.4,5.2,14.7,22.7,62.2
2001,POR,95.4,0.468,0.349,0.761,11.7,30.2,41.9,23.9,8.1,5.1,14.7,21.2,61
2001,SAC,101.,0.449,0.354,0.771,12.0,32.9,45.0,22.5,9.6,5.2,14.3,19.4,67.1
2001,SAS,96.1,0.460,0.406,0.714,11,33.0,44.0,21.6,6.9,7.0,13.4,18.9,70.7
2001,TOR,97.6,0.437,0.368,0.746,13.6,30.8,44.4,24.4,7.3,6.3,12.7,21.2,57.3
2001,UTA,97.0,0.470,0.381,0.751,11.5,29.0,40.5,25.7,8.0,5.6,15.2,25.6,64.6
2001,WAS,93.2,0.439,0.324,0.759,12.3,28.9,41.2,20.0,7.6,4.6,16.1,23.3,23.2
2002,ATL,94.0,0.438,0.354,0.765,11.6,29.8,41.4,20.1,8.1,4.2,14.6,20.7,40.2
2002,BKN,96.2,0.446,0.337,0.735,12.6,30.6,43.3,24.2,8.7,5.9,14.2,21.1,63.4
2002,BOS,96.3,0.423,0.359,0.764,10.8,31.3,42.2,21,9.6,3.5,13.1,21.6,59.8
2002,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,CHI,89.4,0.433,0.345,0.721,11.2,28.7,40.0,22.1,7.7,4.4,14.2,22.3,25.6
2002,CLE,95.2,0.447,0.377,0.772,11.8,30.2,42.0,23.0,6.9,5.7,13.7,21.3,35.4
2002,DAL,105.,0.461,0.377,0.806,11.1,31.3,42.5,22.0,7.0,4.7,11.6,22.4,69.5
2002,DEN,92.1,0.424,0.329,0.743,13.6,28.1,41.7,22.1,7.4,5.6,13.7,22.8,32.9
2002,DET,94.3,0.451,0.375,0.756,9.87,28.8,38.7,21.5,7.9,6.8,13.8,20.6,61
2002,GSW,97.6,0.428,0.321,0.722,16.2,30.4,46.6,20.8,7.9,6.3,16.1,22.9,25.6
2002,HOU,92.3,0.427,0.335,0.740,12.5,29.4,41.9,18.0,6.5,5.4,13.0,18,34.1
